** File generated by WinEP - 5/27/2016 (6:33p) **

Station 	Fy_R1   
0.000000	-0.000000
0.833240	-2.313538
1.666260	7.256148
2.499061	20.515272
3.331681	32.463764
4.164160	48.774925
4.996548	75.304451
5.828903	108.765831
6.661273	138.163895
7.493690	157.130157
8.326162	163.255417
9.158681	157.990402
9.991231	146.075714
10.823795	132.907700
11.656358	121.871414
12.488911	114.413094
13.321452	111.118759
14.153983	111.456100
14.986507	114.078949
15.819031	117.887375
16.651558	121.827644
17.484091	124.721054
18.316631	126.458939
19.149181	127.196983
19.981737	127.413857
20.814299	127.502335
21.646866	127.889450
22.479433	128.708237
23.312004	129.879166
24.144579	131.359497
24.977154	133.101929
25.809734	134.934799
26.642317	136.748245
27.474905	138.465103
28.307497	140.050812
29.140093	141.455917
29.972692	142.758652
30.805298	144.003647
31.637907	145.220093
32.470520	146.445862
33.303139	147.686264
34.135757	148.945389
34.968384	150.205948
35.801010	151.469086
36.633644	152.732132
37.466282	153.978790
38.298923	155.198456
39.131569	156.396088
39.964218	157.560699
40.796871	158.693115
41.629528	159.783798
42.462189	160.845505
43.294853	161.875519
44.127522	162.869568
44.960197	163.823975
45.792873	164.748703
46.625553	165.630951
47.458241	166.482193
48.290928	167.295898
49.123623	168.060867
49.956318	168.779465
50.789021	169.459320
51.621723	170.107330
52.454433	170.727219
53.287148	171.298111
54.119862	171.831802
54.952583	172.340530
55.785305	172.804031
56.618034	173.235413
57.450768	173.627579
58.283501	173.992050
59.116241	174.317383
59.948982	174.612106
60.781731	174.862350
61.614479	175.083084
62.447231	175.281967
63.279991	175.425995
64.112755	175.550491
64.945518	175.636536
65.778282	175.684937
66.611053	175.746170
67.443832	175.698090
68.276611	175.667816
69.109390	175.598511
69.942177	175.527206
70.774963	175.405548
71.607758	175.266174
72.440552	175.101105
73.273354	174.899902
74.106155	174.697327
74.938965	174.461990
75.771774	174.199280
76.604584	173.926651
77.437401	173.628738
78.270218	173.314453
79.103043	172.972534
79.935867	172.632309
80.768692	172.267426
81.601524	171.884644
82.434364	171.493149
83.267197	171.075500
84.100044	170.653229
84.932884	170.217957
85.765732	169.769318
86.598579	169.297104
87.431435	168.825134
88.264290	168.336105
89.097153	167.848190
89.930016	167.344543
