** File generated by WinEP - 5/24/2016 (6:40p) **

Station 	Fy_R1   
0.000000	-0.000000
0.833240	-13.699134
1.666254	-23.211090
2.499019	-37.358669
3.331538	-52.162655
4.163817	-59.934906
4.995865	-57.532307
5.827710	-44.725487
6.659383	-17.540792
7.490942	17.722649
8.322482	63.527782
9.154099	97.980904
9.985847	113.444160
10.817731	113.542366
11.649734	98.906181
12.481824	80.598648
13.313960	59.166138
14.146110	41.634392
14.978257	31.691114
15.810401	28.304127
16.642550	29.782692
17.474716	32.912804
18.306915	36.731071
19.139154	38.274117
19.971434	37.101139
20.803753	33.934437
21.636103	29.020430
22.468479	23.517843
23.300875	18.378002
24.133287	14.412097
24.965719	11.454506
25.798170	9.345418
26.630642	7.912591
27.463135	6.525513
28.295650	4.945024
29.128189	3.058585
29.960751	0.936235
30.793333	-1.426152
31.625935	-3.857028
32.458553	-6.143537
33.291191	-8.309876
34.123844	-10.255322
34.956516	-12.010871
35.789204	-13.613541
36.621906	-15.159255
37.454628	-16.680649
38.287361	-18.211687
39.120113	-19.762341
39.952881	-21.303511
40.785664	-22.830326
41.618462	-24.321722
42.451271	-25.754845
43.284092	-27.115730
44.116928	-28.405905
44.949780	-29.632553
45.782642	-30.805004
46.615517	-31.916370
47.448402	-32.986923
48.281300	-34.019943
49.114208	-35.020756
49.947128	-35.973839
50.780060	-36.885719
51.613003	-37.754837
52.445953	-38.567772
53.278915	-39.334312
54.111889	-40.061939
54.944870	-40.738388
55.777859	-41.372490
56.610859	-41.965561
57.443867	-42.519703
58.276882	-43.027218
59.109909	-43.499744
59.942940	-43.936077
60.775982	-44.334217
61.609028	-44.684639
62.442085	-45.000420
63.275150	-45.284447
64.108215	-45.506557
64.941299	-45.703445
65.774384	-45.870876
66.607468	-45.987000
67.440567	-46.101334
68.273674	-46.155880
69.106781	-46.192944
69.939896	-46.193123
70.773018	-46.157654
71.606140	-46.102795
72.439270	-46.014877
73.272408	-45.912697
74.105553	-45.770061
74.938698	-45.600273
75.771851	-45.412693
76.605011	-45.193584
77.438171	-44.954090
78.271339	-44.686050
79.104507	-44.403343
79.937683	-44.102222
80.770859	-43.787239
81.604042	-43.448505
82.437233	-43.086323
83.270424	-42.722023
84.103615	-42.335976
84.936813	-41.934250
85.770012	-41.519905
86.603218	-41.086391
87.436424	-40.646584
88.269638	-40.193993
89.102852	-39.729736
89.936073	-39.255447
90.769295	-38.784199
91.602516	-38.299290
92.435745	-37.805862
93.268974	-37.303402
94.102203	-36.795761
94.935440	-36.288078
95.768677	-35.775799
96.601921	-35.260307
97.435158	-34.741734
98.268410	-34.221478
99.101654	-33.698029
99.934906	-33.178791
100.768158	-32.659206
101.601410	-32.139999
102.434662	-31.622097
103.267921	-31.104246
104.101181	-30.587059
104.934448	-30.078163
105.767708	-29.566942
106.600975	-29.062160
107.434242	-28.559767
108.267509	-28.066423
109.100784	-27.577250
109.934059	-27.090635
110.767326	-26.615349
111.600609	-26.148031
112.433884	-25.687471
113.267159	-25.231083
114.100441	-24.783407
114.933723	-24.342268
115.767006	-23.906321
116.600288	-23.475513
117.433578	-23.060671
118.266861	-22.649460
119.100151	-22.254135
119.933441	-21.868328
120.766731	-21.487402
121.600021	-21.112562
122.433319	-20.744936
123.266609	-20.396942
124.099907	-20.058788
124.933197	-19.729095
125.766495	-19.400724
126.599792	-19.085573
127.433090	-18.790571
128.266388	-18.492990
129.099701	-18.215031
129.932999	-17.942110
130.766296	-17.675989
131.599594	-17.431482
132.432907	-17.192165
133.266205	-16.959976
134.099518	-16.740406
134.932816	-16.528532
135.766129	-16.321714
136.599442	-16.134766
137.432739	-15.960528
138.266052	-15.781504
139.099365	-15.629334
139.932678	-15.475507
140.765991	-15.329912
141.599289	-15.206518
142.432602	-15.088720
143.265915	-14.975387
144.099228	-14.867663
144.932541	-14.775015
145.765869	-14.685492
146.599182	-14.592045
147.432495	-14.536787
148.265808	-14.480857
149.099121	-14.412246
149.932434	-14.388726
150.765762	-14.333829
151.599075	-14.332301
152.432388	-14.303733
153.265717	-14.275895
154.099030	-14.262133
154.932343	-14.306804
155.765671	-14.332772
156.598984	-14.341302
157.432312	-14.379390
158.265625	-14.404836
159.098953	-14.436253
159.932266	-14.486998
160.765594	-14.502663
161.598923	-14.572046
162.432236	-14.645672
163.265564	-14.684999
164.098877	-14.768340
164.932205	-14.819260
165.765533	-14.901799
166.598846	-14.966134
167.432175	-15.076251
168.265503	-15.135809
169.098831	-15.243738
169.932144	-15.334855
170.765472	-15.417960
171.598801	-15.526719
172.432129	-15.635687
173.265457	-15.732285
174.098785	-15.831685
174.932098	-15.949636
175.765427	-16.070660
176.598755	-16.183111
177.432083	-16.294592
178.265411	-16.406845
179.098740	-16.523455
179.932068	-16.645903
180.765396	-16.770489
181.598724	-16.891897
182.432053	-17.020952
183.265381	-17.148674
184.098709	-17.276358
184.932037	-17.406080
185.765366	-17.531744
186.598694	-17.661850
187.432022	-17.792376
188.265350	-17.918636
189.098679	-18.044788
189.932007	-18.170242
190.765335	-18.295794
191.598663	-18.421766
192.431992	-18.549091
193.265320	-18.678810
194.098648	-18.807348
194.931976	-18.936403
195.765305	-19.063761
196.598633	-19.191038
197.431976	-19.316269
