** File generated by WinEP - 5/22/2016 (2:36p) **

Station 	Ay      
0.000000	0.000000
0.833240	0.020585
1.666260	0.018269
2.499062	0.015692
3.331689	0.013799
4.164200	0.012276
4.996677	0.011025
5.829199	0.010136
6.661808	0.009600
7.494511	0.009397
8.327294	0.009456
9.160134	0.009743
9.993003	0.010102
10.825874	0.010216
11.658734	0.010339
12.491575	0.010509
13.324402	0.010583
14.157224	0.010558
14.990050	0.010445
15.822894	0.010214
16.655760	0.009834
17.488649	0.009423
18.321562	0.009008
19.154491	0.008528
19.987434	0.008023
20.820383	0.007499
21.653336	0.006955
22.486294	0.006403
23.319254	0.005882
24.152222	0.005390
24.985199	0.004912
25.818184	0.004461
26.651182	0.004032
27.484188	0.003619
28.317205	0.003228
29.150232	0.002859
29.983267	0.002500
30.816307	0.002144
31.649355	0.001797
32.482410	0.001450
33.315468	0.001099
34.148537	0.000753
34.981609	0.000409
35.814690	0.000066
36.647774	-0.000278
37.480869	-0.000616
38.313969	-0.000948
39.147076	-0.001276
39.980186	-0.001594
40.813301	-0.001902
41.646423	-0.002201
42.479553	-0.002492
43.312687	-0.002770
44.145824	-0.003036
44.978966	-0.003294
45.812115	-0.003537
46.645267	-0.003772
47.478428	-0.003995
48.311588	-0.004210
49.144756	-0.004412
49.977928	-0.004608
50.811100	-0.004792
51.644279	-0.004967
52.477463	-0.005134
53.310650	-0.005292
54.143845	-0.005443
54.977039	-0.005583
55.810238	-0.005713
56.643436	-0.005838
57.476643	-0.005951
58.309853	-0.006056
59.143063	-0.006151
59.976280	-0.006241
60.809498	-0.006317
61.642719	-0.006387
62.475945	-0.006448
63.309170	-0.006499
64.142403	-0.006545
64.975632	-0.006581
65.808868	-0.006610
66.642105	-0.006626
67.475349	-0.006637
68.308594	-0.006644
69.141838	-0.006642
69.975082	-0.006633
70.808334	-0.006614
71.641586	-0.006591
72.474838	-0.006560
73.308098	-0.006525
74.141357	-0.006482
74.974617	-0.006432
75.807877	-0.006379
76.641144	-0.006320
77.474411	-0.006257
78.307678	-0.006188
79.140945	-0.006115
79.974220	-0.006038
80.807487	-0.005956
81.640762	-0.005871
82.474037	-0.005790
83.307320	-0.005698
84.140594	-0.005599
84.973877	-0.005496
85.807159	-0.005392
86.640442	-0.005288
87.473724	-0.005181
88.307014	-0.005066
89.140297	-0.004949
89.973587	-0.004834
90.806877	-0.004716
91.640167	-0.004594
92.473457	-0.004471
93.306747	-0.004347
94.140045	-0.004220
94.973343	-0.004095
95.806633	-0.003969
96.639931	-0.003839
97.473228	-0.003709
98.306526	-0.003582
99.139832	-0.003454
99.973129	-0.003321
100.806435	-0.003191
101.639732	-0.003066
102.473038	-0.002935
103.306343	-0.002803
104.139641	-0.002677
104.972946	-0.002552
105.806259	-0.002423
106.639565	-0.002294
107.472870	-0.002174
108.306175	-0.002050
109.139488	-0.001924
109.972794	-0.001803
110.806107	-0.001687
111.639420	-0.001568
112.472733	-0.001449
113.306038	-0.001334
114.139351	-0.001222
114.972664	-0.001110
115.805977	-0.000998
116.639297	-0.000892
117.472610	-0.000785
118.305923	-0.000684
119.139236	-0.000580
119.972557	-0.000481
120.805870	-0.000383
121.639191	-0.000287
122.472511	-0.000196
123.305824	-0.000104
124.139145	-0.000018
124.972466	0.000070
125.805779	0.000155
126.639099	0.000234
127.472420	0.000313
128.305740	0.000386
129.139069	0.000461
129.972382	0.000535
130.805710	0.000606
131.639023	0.000670
132.472351	0.000732
133.305664	0.000791
134.138992	0.000850
134.972321	0.000908
135.805634	0.000964
136.638962	0.001018
137.472290	0.001066
138.305603	0.001113
139.138931	0.001152
139.972260	0.001191
140.805588	0.001231
141.638916	0.001270
142.472229	0.001306
143.305557	0.001340
144.138885	0.001372
144.972214	0.001401
145.805542	0.001428
146.638870	0.001453
147.472183	0.001472
148.305511	0.001491
149.138840	0.001509
149.972168	0.001522
150.805496	0.001534
151.638824	0.001546
152.472153	0.001549
153.305481	0.001550
154.138809	0.001558
154.972137	0.001567
155.805466	0.001569
156.638794	0.001572
157.472122	0.001575
158.305450	0.001573
159.138779	0.001570
159.972107	0.001566
160.805435	0.001561
161.638763	0.001552
162.472092	0.001541
163.305420	0.001529
164.138763	0.001516
164.972092	0.001499
165.805420	0.001486
166.638748	0.001466
167.472076	0.001449
168.305405	0.001431
169.138733	0.001409
169.972061	0.001390
170.805405	0.001369
171.638733	0.001347
172.472061	0.001323
173.305389	0.001301
174.138718	0.001278
174.972046	0.001254
175.805374	0.001229
176.638718	0.001204
177.472046	0.001178
178.305374	0.001152
179.138702	0.001125
179.972031	0.001099
180.805374	0.001073
181.638702	0.001047
182.472031	0.001021
183.305359	0.001002
184.138702	0.000974
184.972031	0.000945
185.805359	0.000915
186.638687	0.000885
187.472031	0.000857
188.305359	0.000830
189.138687	0.000804
189.972015	0.000780
190.805359	0.000757
191.638687	0.000733
192.472015	0.000713
193.305359	0.000696
194.138687	0.000676
194.972015	0.000662
195.805344	0.000646
196.638687	0.000635
197.472015	0.000620
198.305344	0.000612
199.138687	0.000605
199.972015	0.000598
200.805359	0.000593
201.638702	0.000589
202.472046	0.000588
203.305405	0.000584
204.138748	0.000583
204.972092	0.000585
205.805435	0.000588
206.638779	0.000595
207.472137	0.000607
208.305481	0.000615
209.138824	0.000633
209.972168	0.000650
210.805511	0.000672
211.638870	0.000698
212.472214	0.000726
213.305557	0.000756
214.138901	0.000788
214.972244	0.000824
215.805603	0.000863
216.638947	0.000903
217.472290	0.000946
218.305634	0.000991
219.138992	0.001040
219.972336	0.001089
220.805710	0.001143
221.639099	0.001193
222.472473	0.001249
223.305862	0.001313
224.139236	0.001382
224.972626	0.001453
225.806000	0.001526
226.639389	0.001603
227.472763	0.001678
228.306137	0.001754
229.139526	0.001838
229.972900	0.001926
230.806290	0.002018
231.639664	0.002112
232.473053	0.002203
233.306427	0.002295
234.139816	0.002397
234.973190	0.002502
235.806580	0.002609
236.639954	0.002713
237.473343	0.002820
238.306717	0.002933
239.140106	0.003050
239.973495	0.003167
240.806915	0.003282
241.640335	0.003406
242.473755	0.003533
243.307190	0.003658
244.140610	0.003783
244.974030	0.003914
245.807465	0.004050
246.640884	0.004182
247.474304	0.004316
248.307724	0.004456
249.141159	0.004596
249.974579	0.004736
250.807999	0.004879
251.641434	0.005026
252.474854	0.005172
253.308273	0.005319
254.141708	0.005471
254.975128	0.005621
255.808548	0.005772
256.641968	0.005928
257.475403	0.006082
258.308838	0.006238
259.142242	0.006397
259.975677	0.006555
260.809143	0.006714
261.642609	0.006876
262.476074	0.007037
263.309540	0.007200
264.143005	0.007362
264.976471	0.007527
265.809937	0.007692
266.643402	0.007856
267.476868	0.008023
268.310333	0.008190
269.143829	0.008356
269.977295	0.008526
270.810760	0.008695
271.644226	0.008861
272.477692	0.009033
273.311157	0.009203
274.144623	0.009371
274.978088	0.009545
275.811554	0.009713
276.645020	0.009884
277.478485	0.010059
278.311951	0.010226
279.145416	0.010400
279.978882	0.010573
280.812408	0.010742
281.645905	0.010917
282.479431	0.011088
283.312927	0.011259
284.146454	0.011435
284.979950	0.011604
285.813446	0.011777
286.646973	0.011951
287.480469	0.012121
288.313995	0.012295
289.147491	0.012467
289.981018	0.012534
290.814514	0.012669
291.648010	0.012763
292.481537	0.012851
293.315033	0.012895
294.148560	0.012988
294.982056	0.013006
295.815552	0.013038
296.649078	0.013066
297.482574	0.013058
298.316101	0.013056
299.149597	0.013050
299.983093	0.013055
300.816650	0.013026
301.650208	0.013019
302.483765	0.012982
303.317322	0.012976
304.150848	0.012976
304.984406	0.012959
305.817963	0.012977
306.651520	0.012948
307.485046	0.012949
308.318604	0.012960
309.152161	0.012985
309.985718	0.012969
310.819244	0.013109
311.652802	0.013212
312.486359	0.013315
313.319916	0.013448
314.153442	0.013601
314.987000	0.013771
315.820557	0.013959
316.654083	0.014203
317.487640	0.014441
318.321198	0.014688
319.154755	0.014957
319.988281	0.015235
320.821899	0.015527
321.655487	0.015827
322.489075	0.016141
323.322662	0.016451
324.156250	0.016763
324.989838	0.017083
325.823425	0.017398
326.657013	0.017715
327.490601	0.018031
328.324188	0.018347
329.157776	0.018654
329.991364	0.018958
330.824951	0.019262
331.658539	0.019558
332.492126	0.019849
333.325714	0.020138
334.159302	0.020419
334.992889	0.020696
335.826477	0.020969
336.660065	0.021234
337.493652	0.021498
338.327240	0.021752
339.160828	0.022008
339.994415	0.022254
340.828033	0.022499
341.661682	0.022738
342.495300	0.022974
343.328918	0.023207
344.162567	0.023434
344.996185	0.023659
345.829803	0.023880
346.663422	0.024098
347.497070	0.024310
348.330688	0.024520
349.164307	0.024728
349.997925	0.024928
350.831543	0.025130
351.665192	0.025322
352.498810	0.025514
353.332428	0.025700
354.166046	0.025884
354.999664	0.026061
355.833313	0.026239
356.666931	0.026370
357.500549	0.026704
358.334137	0.027608
359.167694	0.028526
360.001251	0.029344
360.834869	0.030517
361.668518	0.031591
362.502197	0.032263
363.335876	0.032564
364.169556	0.032680
365.003235	0.032734
365.836884	0.032853
366.670563	0.033125
367.504242	0.033452
368.337891	0.033784
369.171570	0.034103
370.005249	0.034388
370.838898	0.034618
371.672577	0.034817
372.506256	0.034992
373.339905	0.035121
374.173584	0.035212
375.007233	0.035284
375.840912	0.035340
376.674591	0.035374
377.508240	0.035404
378.341919	0.035427
379.175598	0.035438
380.009247	0.035440
380.842957	0.035447
381.676697	0.035445
382.510376	0.035449
383.344086	0.035446
384.177795	0.035449
385.011505	0.035442
385.845215	0.035437
386.678925	0.035428
387.512634	0.035417
388.346344	0.035402
389.180054	0.035383
390.013763	0.035363
390.847473	0.035335
391.681183	0.035306
392.514893	0.035273
393.348572	0.035236
394.182281	0.035198
395.015991	0.035157
395.849701	0.035111
396.683411	0.035068
397.517120	0.035019
398.350861	0.034971
399.184570	0.034921
400.018280	0.034872
400.852020	0.034819
401.685791	0.034771
402.519531	0.034720
403.353302	0.034669
404.187042	0.034620
405.020782	0.034573
405.854553	0.034524
406.688293	0.034482
407.522034	0.034437
408.355804	0.034397
409.189545	0.034358
410.023315	0.034322
410.857056	0.034291
411.690796	0.034262
412.524567	0.034235
413.358307	0.034213
414.192078	0.034195
415.025818	0.034180
415.859589	0.034168
416.693329	0.034159
417.527100	0.034156
418.360870	0.034153
419.194611	0.034158
420.028381	0.034162
420.862183	0.034174
421.695984	0.034185
422.529785	0.034202
423.363586	0.034222
424.197388	0.034243
425.031189	0.034271
425.864990	0.034300
426.698792	0.034331
427.532593	0.034369
428.366394	0.034408
429.200195	0.034448
430.033997	0.034497
430.867798	0.034547
431.701599	0.034599
432.535400	0.034659
433.369202	0.034719
434.203033	0.034785
435.036835	0.034853
435.870636	0.034928
436.704437	0.035004
437.538239	0.035082
438.372070	0.035172
439.205872	0.035260
440.039673	0.035349
440.873535	0.035447
441.707397	0.035548
442.541260	0.035652
443.375092	0.035761
444.208954	0.035871
445.042816	0.035984
445.876648	0.036104
446.710510	0.036227
447.544373	0.036350
448.378204	0.036474
449.212067	0.036606
450.045929	0.036744
450.879761	0.036878
451.713623	0.037015
452.547485	0.037155
453.381317	0.037302
454.215179	0.037450
455.049042	0.037600
455.882904	0.037749
456.716736	0.037900
457.550598	0.038057
458.384460	0.038216
459.218323	0.038373
460.052216	0.038535
460.886108	0.038698
461.720001	0.038862
462.553925	0.039027
463.387817	0.039197
464.221741	0.039367
465.055634	0.039534
465.889526	0.039705
466.723419	0.039877
467.557343	0.040052
468.391235	0.040444
469.225159	0.040399
470.059082	0.039769
470.893066	0.039262
471.727051	0.038535
472.561005	0.037574
473.394897	0.036912
474.228790	0.036650
475.062683	0.036721
475.896576	0.036943
476.730469	0.037192
477.564392	0.037313
478.398285	0.037298
479.232208	0.037245
480.066101	0.037177
480.900055	0.037132
481.734009	0.037133
482.567963	0.037174
483.401886	0.037243
484.235840	0.037355
485.069794	0.037524
485.903748	0.037726
486.737671	0.037957
487.571625	0.038208
488.405579	0.038465
489.239502	0.038731
490.073456	0.039001
490.907379	0.039282
491.741333	0.039564
492.575287	0.039846
493.409210	0.040125
494.243164	0.040400
495.077118	0.040672
495.911041	0.040943
496.744995	0.041219
497.578949	0.041488
498.412903	0.041763
499.246857	0.042036
500.080811	0.042311
500.914795	0.042590
501.748810	0.042872
502.582794	0.043157
503.416779	0.043446
504.250763	0.043736
505.084747	0.044030
505.918732	0.044326
506.752716	0.044624
507.586700	0.044921
508.420685	0.045222
509.254669	0.045523
510.088654	0.045823
510.922638	0.046124
511.756622	0.046425
512.590576	0.046727
513.424561	0.047024
514.258545	0.047323
515.092529	0.047618
515.926514	0.047913
516.760498	0.048202
517.594482	0.048490
518.428467	0.048777
519.262451	0.049057
520.096497	0.049336
520.930481	0.049609
521.764526	0.049880
522.598572	0.050145
523.432617	0.050406
524.266602	0.050663
525.100647	0.050916
525.934631	0.051166
526.768677	0.051410
527.602722	0.051652
528.436707	0.051888
529.270752	0.052124
530.104736	0.052353
530.938782	0.052582
531.772766	0.052806
532.606812	0.053029
533.440796	0.053250
534.274841	0.053466
535.108826	0.053684
535.942871	0.053893
536.776855	0.054106
537.610901	0.054313
538.444946	0.054519
539.278931	0.054722
540.112976	0.054922
540.947021	0.055119
541.781128	0.055317
542.615173	0.055508
543.449219	0.055700
544.283325	0.055889
545.117371	0.056074
545.951416	0.056255
546.785461	0.056437
547.619507	0.056609
548.453552	0.056784
549.287598	0.056954
550.121643	0.057121
550.955688	0.057285
551.789734	0.057447
552.623779	0.057606
553.457825	0.057758
554.291931	0.057912
555.125977	0.058062
555.960022	0.058205
556.794067	0.058351
557.628113	0.058491
558.462158	0.058629
559.296265	0.058765
560.130310	0.058896
560.964417	0.059028
561.798523	0.059156
562.632629	0.059279
563.466736	0.059403
564.300781	0.059528
565.134888	0.059648
565.968994	0.059761
566.803101	0.059880
567.637146	0.059996
568.471252	0.060107
569.305298	0.060213
570.139404	0.060324
570.973511	0.060434
571.807556	0.060539
572.641663	0.060643
573.475769	0.060746
574.309814	0.060851
575.143921	0.060952
575.978027	0.061053
576.812073	0.061153
577.646179	0.061251
578.480286	0.061349
579.314392	0.061446
580.148499	0.061544
580.982666	0.061641
581.816772	0.061737
582.650940	0.061831
583.485046	0.061928
584.319153	0.062026
585.153320	0.062122
585.987427	0.062215
586.821533	0.062306
587.655701	0.062403
588.489807	0.062499
589.323914	0.062596
590.158020	0.062685
590.992188	0.062778
591.826294	0.062874
592.660400	0.062972
593.494507	0.063069
594.328613	0.063158
595.162781	0.063252
595.996887	0.063351
596.830994	0.063450
597.665161	0.063547
598.499268	0.063639
599.333435	0.063735
600.167603	0.063834
601.001770	0.063935
601.835938	0.064033
602.670105	0.064132
603.504272	0.064231
604.338440	0.064334
605.172607	0.064438
606.006775	0.064538
606.840942	0.064640
607.675110	0.064743
608.509277	0.064849
609.343384	0.064952
610.177551	0.065058
611.011719	0.065164
611.845886	0.065272
612.680054	0.065378
613.514221	0.065488
614.348328	0.065599
615.182495	0.065708
616.016663	0.065817
616.850830	0.065929
617.684998	0.066045
618.519165	0.066157
619.353394	0.066268
620.187561	0.066383
621.021790	0.066501
621.856018	0.066621
622.690186	0.066733
623.524414	0.066852
624.358643	0.066975
625.192810	0.067099
626.027039	0.067214
626.861206	0.067336
627.695435	0.067462
628.529602	0.067586
629.363831	0.067706
630.197998	0.067831
631.032166	0.067960
631.866394	0.068086
632.700562	0.068211
633.534790	0.068340
634.368958	0.068472
635.203186	0.068600
636.037354	0.068729
636.871582	0.068861
637.705811	0.068992
638.539978	0.069126
639.374207	0.069257
640.208435	0.069389
641.042725	0.069523
641.876953	0.069662
642.711182	0.069796
643.545471	0.069930
644.379700	0.070071
645.213928	0.070209
646.048157	0.070344
646.882385	0.070484
647.716614	0.070626
648.550842	0.070761
649.385071	0.070900
650.219299	0.071044
651.053528	0.071185
651.887756	0.071323
652.721985	0.071467
653.556213	0.071611
654.390442	0.071751
655.224731	0.071894
656.058960	0.072039
656.893188	0.072183
657.727417	0.072324
658.561707	0.072470
659.395935	0.072614
660.230225	0.072758
661.064514	0.072904
661.898804	0.073049
662.733093	0.073198
663.567322	0.073343
664.401611	0.073488
665.235901	0.073639
666.070190	0.073786
666.904419	0.073929
667.738708	0.074078
668.572937	0.074228
669.407227	0.074368
670.241516	0.074517
671.075745	0.074668
671.910034	0.074811
