** File generated by WinEP - 6/02/2016 (7:39p) **

Station 	Fy_R1   
0.000000	-0.000000
0.833240	-13.560319
1.666260	-17.201757
2.499062	-17.119242
3.331689	-9.043177
4.164200	10.367105
4.996677	43.593979
5.829199	76.017860
6.661808	96.396286
7.494511	103.659317
8.327294	99.683334
9.160134	86.356224
9.993003	67.637032
10.825874	47.433159
11.658734	32.387657
12.491575	24.838787
13.324402	23.532055
14.157224	26.657087
14.990050	31.761402
15.822894	36.249958
16.655760	38.143196
17.488649	37.547367
18.321562	34.716282
19.154491	30.005476
19.987434	24.668970
20.820383	19.607101
21.653336	15.317469
22.486294	12.073563
23.319254	9.920669
24.152222	8.504934
24.985199	7.275384
25.818184	5.984858
26.651182	4.385822
27.484188	2.358149
28.317205	0.054650
29.150232	-2.376932
29.983267	-4.793248
30.816307	-7.090473
31.649355	-9.177813
32.482410	-11.057473
33.315468	-12.753700
34.148537	-14.293188
34.981609	-15.758956
35.814690	-17.214426
36.647774	-18.696096
37.480869	-20.204781
38.313969	-21.741529
39.147076	-23.283033
39.980186	-24.777950
40.813301	-26.212599
41.646423	-27.584238
42.479553	-28.889912
43.312687	-30.121706
44.145824	-31.299145
44.978966	-32.428696
45.812115	-33.502583
46.645267	-34.550762
47.478428	-35.569740
48.311588	-36.552322
49.144756	-37.486050
49.977928	-38.371887
50.811100	-39.215309
51.644279	-40.016281
52.477463	-40.770744
53.310650	-41.474407
54.143845	-42.131809
54.977039	-42.757706
55.810238	-43.331409
56.643436	-43.878357
57.476643	-44.378937
58.309853	-44.839882
59.143063	-45.262711
59.976280	-45.655426
60.809498	-46.001545
61.642719	-46.309731
62.475945	-46.576572
63.309170	-46.808975
64.142403	-47.012028
64.975632	-47.166092
65.808868	-47.297852
66.642105	-47.376141
67.475349	-47.444893
68.308594	-47.468773
69.141838	-47.438694
69.975082	-47.416565
70.808334	-47.354889
71.641586	-47.267773
72.474838	-47.140263
73.308098	-46.998844
74.141357	-46.820316
74.974617	-46.618645
75.807877	-46.394791
76.641144	-46.151772
77.474411	-45.889156
78.307678	-45.600170
79.140945	-45.297577
79.974220	-44.969070
80.807487	-44.628479
81.640762	-44.263603
82.474037	-43.892162
83.307320	-43.503368
84.140594	-43.095116
84.973877	-42.665047
85.807159	-42.234478
86.640442	-41.791786
87.473724	-41.334568
88.307014	-40.870178
89.140297	-40.388557
89.973587	-39.905186
90.806877	-39.405796
91.640167	-38.902687
92.473457	-38.393517
93.306747	-37.878735
94.140045	-37.359226
94.973343	-36.840790
