【MAD】续 夏目朋友帐子ＥＤ - 爱的 【中国語Ver.】
up主: 冷场莫莫
时间	发送日期		弹幕内容
00:28	03-10 18:20:45	这么好的歌没人听么？	
02:00	07-21 16:56:20	唱得不错	
00:56	07-21 16:55:16	国语美	
00:38	07-21 16:54:58	好歌	
00:38	07-24 00:06:54	第一季的ED有人唱么?	
01:23	07-24 13:53:49	声音跟曲子风格也合适..	
01:19	10-22 20:25:17	本身是神曲。。。国语也很NB。。。夏目也是好片子！	
00:59	11-02 15:56:27	求版聊	
01:42	11-02 15:57:10	有人么	
00:15	11-20 16:58:16	HEY	
00:17	11-20 16:58:35	随风凋零的花	
00:21	11-20 16:58:46	你还会记得吗	
00:23	11-20 16:59:14	就如泛黄的誓言落下	
00:21	11-20 17:03:37	 就如泛黄的誓言落下	
00:27	11-20 17:03:49	hey	
00:28	11-20 17:04:44	曾经说过的话	
00:31	11-20 17:05:09	你还会记得吗	
00:34	11-20 17:08:39	也许早已经被放下	
00:39	11-20 17:08:55	牵着我的手	
00:41	11-20 17:09:05	还快乐吗	
00:42	11-20 17:09:17	漫天风雪	
00:44	11-20 17:09:26	正待融化	
00:45	11-20 17:09:47	流过的泪	
00:47	11-20 17:09:55	是因为感动吗	
00:39	11-21 18:49:22	牽著我的手	
00:41	11-21 18:49:33	還快樂嗎	
00:14	11-21 18:50:00	Hey	
00:15	11-21 18:50:07	隨風凋零的花	
00:18	11-21 18:50:20	你還會記得嗎	
00:21	11-21 18:50:41	就如氾黃的誓言落下	
00:27	11-21 18:50:50	Hey	
00:28	11-21 18:51:02	曾經說過的話	
00:31	11-21 18:51:11	你還會記得嗎	
00:34	11-21 18:51:30	也許早已經被放下	
00:43	11-21 18:51:47	漫天風雪	
00:44	11-21 18:52:00	正待融化	
00:46	11-21 18:52:16	流過的淚	
00:47	11-21 18:52:31	是因為感動嗎	
00:51	11-21 18:54:03	在愛情的旅途	
00:53	11-21 18:54:11	一起走過的路	
00:58	11-21 18:54:32	手心裡殘留著	
01:01	11-21 18:54:39	你的溫度	
01:04	11-21 18:54:53	就讓時間停駐	
01:08	11-21 18:55:14	不管再多的苦	
01:11	11-21 18:55:32	只屬於我們的幸福	
01:16	11-21 18:55:57	在愛情的旅途	
01:19	11-21 18:56:10	未能走完的路	
01:23	11-21 18:56:21	我真心的祈求	
01:26	11-21 18:56:30	過多少春秋	
01:31	11-21 18:56:48	最後陪伴你的人	
01:34	11-21 18:56:56	不一定是我	
01:37	11-21 18:57:17	也曾擁有過	
01:39	11-21 18:57:26	回憶從不寂寞	
01:47	11-21 18:58:12	Hey	
01:48	11-21 18:58:30	漸漸消逝的傷	
01:51	11-21 18:58:45	轉身離開的你	
01:55	11-21 18:59:07	只剩背影在回放	
01:58	11-21 18:59:26	有些愛	
02:00	11-21 18:59:34	一個人沒有未來	
02:03	11-21 18:59:47	兩個人卻	
02:04	11-21 18:59:57	變得無奈	
02:06	11-21 19:00:03	如今的我	
02:07	11-21 19:00:10	都可以釋懷	
02:11	11-21 19:10:53	在成長的旅途	
02:12	11-21 19:11:32	在成長的旅途	
02:14	11-21 19:11:44	一起走過的路	
02:17	11-21 19:12:03	手心裡殘留的	
02:21	11-21 19:12:07	失去溫度	
02:25	11-21 19:12:23	那一刻你的笑	
02:28	11-21 19:12:39	仍在心底纏繞	
02:31	11-21 19:12:47	永遠化不開的記號	
02:36	11-21 19:13:05	在成長的旅途	
02:40	11-21 19:13:15	未能走完的路	
02:43	11-21 19:13:35	想念你的痛苦	
02:46	11-21 19:13:51	需要過多久	
02:51	11-21 19:22:40	最後緊握你的手	
02:54	11-21 19:22:50	已不是我	
02:57	11-21 19:23:05	也曾快樂過	
02:59	11-21 19:23:17	回憶從不寂寞	
03:05	11-21 19:23:36	你問我	
03:06	11-21 19:23:57	是否	
03:08	11-21 19:24:13	還會想起那些事	
03:11	11-21 19:24:23	或者遺忘了	
03:15	11-21 19:24:41	我低下頭只剩沉默	
03:20	11-21 19:25:14	明白愛是解不開的枷鎖	
03:31	11-21 19:25:38	你問我是否	
03:34	11-21 19:26:06	還會記起那承諾	
03:37	11-21 19:26:15	和年少的夢	
03:41	11-21 19:26:44	分開后感受到的痛	
03:46	11-21 19:26:57	心在顫動	
03:53	11-21 19:27:13	在愛情的旅途	
03:56	11-21 19:27:25	一起走過的路	
03:59	11-21 19:27:41	手心裡殘留著	
04:03	11-21 19:27:46	你的溫度	
04:07	11-21 19:27:57	就讓時間停駐	
