炉石传说：【天天素材库】 第28期
up主: 天天卡牌
时间	发送日期		弹幕内容
02:15	11-07 18:05:37	我王战无不胜  我望光芒万丈	
01:47	11-07 18:05:38	消灭零弹幕	
07:35	11-07 18:05:53	hahahahaha 	
07:57	11-07 18:05:56	真厉害	
06:36	11-07 18:05:56	内伤~2333	
05:09	11-07 18:05:46	23333333	
00:24	11-07 18:06:03	求bgm	
04:44	11-07 18:06:31	谁让你用王的bgm	
00:04	11-07 18:06:33	天天卡牌用不为奴	
05:40	11-07 18:06:33	233333333	
06:13	11-07 18:06:38	果然瞬间你死了	
07:21	11-07 18:06:38	自杀性傻龙	
08:37	11-07 18:06:51	1	
02:22	11-07 18:07:04	 王！！！	
07:30	11-07 18:07:09	同福傻隆	
00:00	11-07 18:07:10	等了足足半个月终于更新了！	
06:11	11-07 18:07:12	对不起，我是警察	
06:09	11-07 18:07:22	给我个机会，我想做个好人	
05:07	11-07 18:07:34	泰奶奶怎么拿？	
02:33	11-07 18:07:39	厉害	
00:03	11-07 18:07:28	第一	
08:31	11-07 18:07:46	早就撕了	
06:37	11-07 18:07:48	夜行好gay气	
03:46	11-07 18:07:51	竟然瞧不起我无产阶级工农兵	
04:22	11-07 18:07:59	五个圣盾不解场，然后这掏出个血骑士，那就是另一个故事了	
07:36	11-07 18:08:11	连小鱼人都不放过！	
07:56	11-07 18:08:22	哈哈哈 这个好惨	
00:30	11-07 18:08:39	我曾经也干过这事  不过我是满血斩杀  天选卡	
07:37	11-07 18:08:42	同福傻龙	
00:17	11-07 18:08:58	前一万	
00:07	11-07 18:09:03	前	
00:07	11-07 18:09:05	半个小时	
08:01	11-07 18:09:09	滑稽	
07:15	11-07 18:09:23	10费弃一张牌	
07:20	11-07 18:09:45	战吼：施放一个法术，目标自己或己方英雄	
06:36	11-07 18:09:58	小时代	
00:13	11-07 18:10:11	失踪人口回归	
02:43	11-07 18:10:35	这小嘴动的	
03:18	11-07 18:10:49	梦游先生音效？	
00:04	11-07 18:11:08	恢复更新	
01:58	11-07 18:11:12	信仰科技吧	
00:00	11-07 18:11:45	前3万	
00:07	11-07 18:11:59	失踪人口回归系列	
03:59	11-07 18:12:06	士兵们	
00:03	11-07 18:12:07	失踪人口回归，前五万！	
02:14	11-07 18:12:26	燃燃燃	
00:00	11-07 18:12:36	1	
04:48	11-07 18:12:54	欧服	
